
fruit = apple
layer = 5_point
test accuracy = tensor(97.5000, device='cuda:1')
test accuracy = tensor(96.1667, device='cuda:1')
test accuracy = tensor(96.1667, device='cuda:1')
test accuracy = tensor(97.5000, device='cuda:1')
test accuracy = tensor(97.3333, device='cuda:1')
test accuracy = tensor(96.6667, device='cuda:1')
test accuracy = tensor(97.6667, device='cuda:1')
test accuracy = tensor(97.8333, device='cuda:1')
test accuracy = tensor(98.1667, device='cuda:1')
test accuracy = tensor(98., device='cuda:1')
test accuracy = tensor(96.6667, device='cuda:1')
test accuracy = tensor(97.8333, device='cuda:1')
test accuracy = tensor(98., device='cuda:1')
test accuracy = tensor(97.8333, device='cuda:1')
test accuracy = tensor(96.3333, device='cuda:1')
test accuracy = tensor(96.1667, device='cuda:1')
test accuracy = tensor(96.5000, device='cuda:1')
test accuracy = tensor(97.8333, device='cuda:1')
test accuracy = tensor(96.1667, device='cuda:1')
test accuracy = tensor(98., device='cuda:1')
test accuracy = tensor(96.1667, device='cuda:1')
test accuracy = tensor(95.8333, device='cuda:1')
test accuracy = tensor(97.5000, device='cuda:1')
test accuracy = tensor(97.8333, device='cuda:1')
test accuracy = tensor(97.8333, device='cuda:1')
test accuracy = tensor(98., device='cuda:1')
test accuracy = tensor(98., device='cuda:1')
test accuracy = tensor(96.5000, device='cuda:1')
test accuracy = tensor(97.8333, device='cuda:1')
test accuracy = tensor(96.1667, device='cuda:1')
test accuracy = tensor(98., device='cuda:1')
test accuracy = tensor(98., device='cuda:1')
test accuracy = tensor(98.1667, device='cuda:1')
test accuracy = tensor(97., device='cuda:1')
test accuracy = tensor(97.8333, device='cuda:1')
test accuracy = tensor(97.5000, device='cuda:1')
test accuracy = tensor(98.1667, device='cuda:1')
test accuracy = tensor(97.6667, device='cuda:1')
test accuracy = tensor(96.5000, device='cuda:1')
test accuracy = tensor(96.3333, device='cuda:1')
test accuracy = tensor(96.1667, device='cuda:1')
test accuracy = tensor(98., device='cuda:1')
test accuracy = tensor(96.8333, device='cuda:1')
test accuracy = tensor(98., device='cuda:1')
